cluster,count
2587 MH Tac2 Glut_3,1191
2580 MH Tac2 Glut_1,1181
2599 LH Pou4f1 Sox1 Glut_1,1162
2592 MH Tac2 Glut_3,757
2590 MH Tac2 Glut_3,756
2589 MH Tac2 Glut_3,532
2581 MH Tac2 Glut_1,468
2591 MH Tac2 Glut_3,452
2578 MH Tac2 Glut_1,418
2593 MH Tac2 Glut_3,413
2583 MH Tac2 Glut_2,338
2579 MH Tac2 Glut_1,257
2606 LH Pou4f1 Sox1 Glut_3,234
2588 MH Tac2 Glut_3,230
2585 MH Tac2 Glut_2,215
2598 MH Tac2 Glut_5,188
2602 LH Pou4f1 Sox1 Glut_2,183
2603 LH Pou4f1 Sox1 Glut_2,175
2608 LH Pou4f1 Sox1 Glut_3,173
2600 LH Pou4f1 Sox1 Glut_1,136
2586 MH Tac2 Glut_2,135
2601 LH Pou4f1 Sox1 Glut_2,124
2584 MH Tac2 Glut_2,109
2595 MH Tac2 Glut_4,106
2607 LH Pou4f1 Sox1 Glut_3,104
2612 LH Pou4f1 Sox1 Glut_4,91
2610 LH Pou4f1 Sox1 Glut_4,88
2605 LH Pou4f1 Sox1 Glut_2,85
2596 MH Tac2 Glut_5,83
2604 LH Pou4f1 Sox1 Glut_2,83
2582 MH Tac2 Glut_2,81
2609 LH Pou4f1 Sox1 Glut_4,75
2611 LH Pou4f1 Sox1 Glut_4,54
2597 MH Tac2 Glut_5,51
2594 MH Tac2 Glut_4,42
