class,subclass,supertype,Tac2,Pcdh10,Tac1,Chat,Cartpt,Chrna3,Kcna1,Kcna2,Kcna3,Kcna4,Kcna5,Kcna6,Oprm1,Sst,Tacr1
17 MH-LH Glut,145 MH Tac2 Glut,0632 MH Tac2 Glut_1,6.829598722072149,0.66914602544755,0.08423999151961939,6.937576522104917,0.3396442463804235,8.908601411853928,0.07706229945263231,9.080270026308739,0.00420191796839545,0.25278561968811614,0.009042720170932054,0.3275862105331815,0.3268277587660824,0.04813077363623194,6.070594545075487
17 MH-LH Glut,145 MH Tac2 Glut,0633 MH Tac2 Glut_2,8.059425361064138,0.6941341028669701,5.365577799312618,0.035484411178797415,2.097782577631957,4.32744357689095,0.12819101055553672,4.503327823717122,0.04434450286396001,1.6907392520296276,0.01554655920128616,0.6096549126444754,8.693439503193988,0.051020630399838666,2.850461322245674
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,6.958892335409492,0.30995839210779774,1.2382514530173958,4.108914882749753,1.4712709575733227,8.152284685499094,0.07418815182967925,6.788317432967269,0.053605400368182496,0.40982296769048127,0.0024337273110861153,0.3347925583833471,6.77661204794983,0.07756600834651181,6.821314779557744
17 MH-LH Glut,145 MH Tac2 Glut,0635 MH Tac2 Glut_4,3.859463868914424,1.8761497284914996,0.05212467747765619,3.7513484858177804,5.609014907398739,7.828568703419453,0.0,7.525998740582852,0.03843823316934947,0.35605798863075877,0.0,2.3353397491815926,4.111608637345804,0.8621763989732072,2.0364181705423303
17 MH-LH Glut,145 MH Tac2 Glut,0636 MH Tac2 Glut_5,0.26123716964484744,0.7859542058861774,0.7339353057908715,0.047883553534561064,6.835470769716346,0.19493673751072854,0.024413989937823753,2.889938835771928,0.030975254426091354,1.426130053419504,0.0,1.1792154919286693,6.535966947211982,6.749567557565914,4.915613892655935
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0637 LH Pou4f1 Sox1 Glut_1,0.1406434559491456,7.548466175840522,0.11930026258636145,0.0,0.05797506517548407,0.2906203027498924,1.6769338407207894,6.912145247261035,0.06528944116895115,2.8847749641018767,0.7394874224493794,4.4094650855600745,5.265039189754539,0.2558338344556341,3.52144148279963
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0638 LH Pou4f1 Sox1 Glut_2,0.1701054411668044,8.288352736693161,0.20102790612440843,0.01546417236328125,0.039180384415846606,0.17462146098797138,1.161604522558359,7.348984162257268,0.09687859902015099,1.423548406454233,0.17238071588369516,4.4883481583228475,3.1849071803459754,0.05991432703458346,3.1667351157848653
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0639 LH Pou4f1 Sox1 Glut_3,0.48875671823430666,7.253869333845762,1.3725144830468583,0.0,2.488129130548227,0.3569790771096187,0.07876944681902921,4.9804115202095645,0.0192223117776113,0.9717442219504638,0.0,1.9964745637255406,6.3133235192345545,0.2390474881211372,2.354114170410395
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0640 LH Pou4f1 Sox1 Glut_4,0.0889455002623719,7.010312998449647,0.7804229987132085,0.0,0.32311928427064573,0.13150201989458754,0.7002827285172103,6.580283513316861,0.09364372878879695,1.101662416736801,0.020289063453674316,3.839947728367595,3.344768626349313,0.17080961574207654,0.8016637470815089
